SPXT,EAFE,LTR,REIT,GSCI
1837.5,3754.7,1581.494,6524.25,4534.2
1771.4,3589.278,1618.655,6184.3,4176.2
1826.27,3564.671,1628.79,6514.45,4408.4
1936.48,3787.189,1611.92,7177.91,4493.7
1967.05,3718.662,1635.14,7676.2,4618.4
1809.98,3290.787,1674.13,7250.53,4009.2
1715.23,3257.97,1711.723,6886.77,4026
1835.4,3566.918,1729.655,7542.56,4252.6
1752.55,3456.171,1767.173,7437.87,4017.7
1908.95,3794.83,1773.394,7770.14,4358.7
1981.59,3931.93,1776.962,8135.44,4470.2
1981.84,3742.628,1759.956,7976.14,4518.6
2114.29,4045.69,1708.161,8347.58,4943.4
2164.3999,4141.156,1713.503,8691.91,5094.3
2238.55,4277.699,1706.883,9090.25,5285.1
2239.4399,4181.827,1706.866,8973.82,5515.1
2305.76,4431.792,1737.246,9432.7,5758.4
2279.6599,4300.855,1777.976,9526.95,5361.7
2241.6599,4247.004,1774.037,9234.38,5077.2
2196.0801,4179.467,1822.848,9331.56,5200.9
2076.78,3802.103,1885.582,8809.33,5104.9
1930.79,3439.81,1901.243,7842.64,4483.7
2141.8101,3771.48,1886.286,8962.35,4920.7
2137.0801,3588.516,1900.744,8625.48,4990.4
2158.9399,3554.496,1927.039,9039.07,4885.3
2255.6899,3744.112,1943.705,9613.8,4994.3
2353.23,3958.94,1928.929,9526.22,5297.1
2430.6699,3940.545,1907.498,9987.37,5172.6
2415.4199,3863.415,1948.926,10254.33,5146.1
2270.25,3419.845,1988.21,9802.04,4478.2
2363.79,3659.615,1980.127,10386.82,4532
2396.6201,3701.119,1999.418,10612.21,4820.9
2450.6001,3800.516,2002.087,10624.91,5127.7
2513.9299,3912.94,1998.809,10493.88,5054.81
2467.51,3945.505,1992.3,10467.52,4849.3
2481.8201,4040.849,2008.954,10439.07,4920.9
2504.4399,4170.029,1996.556,10819.84,4889
2634.1599,4389.989,1974.245,11215.56,5102
2669.9199,4348.348,1995.613,11354.74,4878.3
2770.05,4384.051,2002.481,11696.24,4915.9
2823.4199,4612.486,2023.605,12436.69,4683.3
2889.46,4501.106,1975.883,11702.91,4613.6
2850.6599,4341.189,1935.413,11446.85,4624.4
2995.72,4570.271,1933.662,11541.72,4851.6
2908.96,4509.815,1918.772,10777.4,5015.4
3000.1799,4843.215,1951.471,11147.52,4845.3
3138.0901,5006.063,1966.574,11630.75,4775.4
3233.72,5044.4,1955.544,11064.85,4738.1
3315.5901,5119.879,1919.378,11128.83,4829.5
3200.95,4913.723,1961.66,11497.42,4750.4
3347.3799,5186.887,1967.126,12033.97,4964.6
3375.51,5153.828,1950.968,12076.48,4971.54
3400.46,5228.332,1965.674,12438.1,5008.4
3480.29,5313.243,1995.418,12800.55,4999.62
3552.1799,5364.473,1990.115,12937.07,5105.46
3503.1899,5259.214,1981.328,12941.18,4835.02
3643.3401,5251.124,2009.553,13365,4755.75
3592.25,5049.268,1991.485,12615.85,4469.27
3679.99,4975.954,2019.099,13749.9,4201.84
3778.96,5043.636,2040.511,14071.2,3742.98
3769.4399,4868.918,2036.721,14247.97,3232.8
3656.28,4892.719,2102.421,15126.47,2990.45
3866.4199,5185.21,2063.175,14666.73,3183.79
3805.27,5106.441,2081.288,14815.12,2967.12
3841.78,5314.932,2072.927,14081.98,3295.22
3891.1799,5287.726,2072.163,14050.82,3229.74
3815.8501,5137.906,2047.796,13472.42,3226.12
3895.8,5244.586,2068.565,14144.31,2771.17
3660.75,4858.779,2072.337,13321.15,2779.47
3570.1699,4612.071,2099.841,13605.29,2603.62
3871.3301,4972.594,2082.987,14485.7,2609.6
3882.8401,4895.236,2072.494,14461,2375.62
3821.6001,4829.277,,14650.51,2170.61
